RunId;Step;Agent;ResultType;Result
1;GameOver;7;10001
1;10001;229:;RewardPos;8
1;10001;229:;RewardNeg;116
1;10001;229:;AmountOfProposition;24
1;10001;229:;AmountOfPositivesProposition;12
1;10001;229:;AmountOfNegativesProposition;12
1;10001;229:;AmountOfRightPositivesProposition;6
1;10001;229:;AmountOfWrongPositivesProposition;0
1;10001;229:;AmountOfRightNegativesProposition;0
1;10001;229:;AmountOfWrongNegativesProposition;3
1;10001;229:;Precission_X;1.0
1;10001;229:;Precission_!X;0.0
1;10001;229:;Recall_X;0.6666666666666666
1;10001;229:;Recall_!X;0
1;10001;923:;RewardPos;0
1;10001;923:;RewardNeg;150
1;10001;923:;AmountOfProposition;24
1;10001;923:;AmountOfPositivesProposition;12
1;10001;923:;AmountOfNegativesProposition;12
1;10001;923:;AmountOfRightPositivesProposition;6
1;10001;923:;AmountOfWrongPositivesProposition;0
1;10001;923:;AmountOfRightNegativesProposition;0
1;10001;923:;AmountOfWrongNegativesProposition;2
1;10001;923:;Precission_X;1.0
1;10001;923:;Precission_!X;0.0
1;10001;923:;Recall_X;0.75
1;10001;923:;Recall_!X;0
1;10001;831:;RewardPos;30
1;10001;831:;RewardNeg;21
1;10001;831:;AmountOfProposition;24
1;10001;831:;AmountOfPositivesProposition;12
1;10001;831:;AmountOfNegativesProposition;12
1;10001;831:;AmountOfRightPositivesProposition;1
1;10001;831:;AmountOfWrongPositivesProposition;1
1;10001;831:;AmountOfRightNegativesProposition;3
1;10001;831:;AmountOfWrongNegativesProposition;0
1;10001;831:;Precission_X;0.5
1;10001;831:;Precission_!X;1.0
1;10001;831:;Recall_X;1.0
1;10001;831:;Recall_!X;0.75
1;10001;289:;RewardPos;14
1;10001;289:;RewardNeg;97
1;10001;289:;AmountOfProposition;24
1;10001;289:;AmountOfPositivesProposition;12
1;10001;289:;AmountOfNegativesProposition;12
1;10001;289:;AmountOfRightPositivesProposition;4
1;10001;289:;AmountOfWrongPositivesProposition;0
1;10001;289:;AmountOfRightNegativesProposition;0
1;10001;289:;AmountOfWrongNegativesProposition;2
1;10001;289:;Precission_X;1.0
1;10001;289:;Precission_!X;0.0
1;10001;289:;Recall_X;0.6666666666666666
1;10001;289:;Recall_!X;0
1;10001;457:;RewardPos;27
1;10001;457:;RewardNeg;16
1;10001;457:;AmountOfProposition;24
1;10001;457:;AmountOfPositivesProposition;12
1;10001;457:;AmountOfNegativesProposition;12
1;10001;457:;AmountOfRightPositivesProposition;2
1;10001;457:;AmountOfWrongPositivesProposition;0
1;10001;457:;AmountOfRightNegativesProposition;1
1;10001;457:;AmountOfWrongNegativesProposition;2
1;10001;457:;Precission_X;1.0
1;10001;457:;Precission_!X;0.3333333333333333
1;10001;457:;Recall_X;0.5
1;10001;457:;Recall_!X;1.0
1;10001;16:;RewardPos;38
1;10001;16:;RewardNeg;48
1;10001;16:;AmountOfProposition;24
1;10001;16:;AmountOfPositivesProposition;12
1;10001;16:;AmountOfNegativesProposition;12
1;10001;16:;AmountOfRightPositivesProposition;3
1;10001;16:;AmountOfWrongPositivesProposition;0
1;10001;16:;AmountOfRightNegativesProposition;1
1;10001;16:;AmountOfWrongNegativesProposition;2
1;10001;16:;Precission_X;1.0
1;10001;16:;Precission_!X;0.3333333333333333
1;10001;16:;Recall_X;0.6
1;10001;16:;Recall_!X;1.0
1;10001;652:;RewardPos;33
1;10001;652:;RewardNeg;19
1;10001;652:;AmountOfProposition;24
1;10001;652:;AmountOfPositivesProposition;12
1;10001;652:;AmountOfNegativesProposition;12
1;10001;652:;AmountOfRightPositivesProposition;1
1;10001;652:;AmountOfWrongPositivesProposition;0
1;10001;652:;AmountOfRightNegativesProposition;1
1;10001;652:;AmountOfWrongNegativesProposition;0
1;10001;652:;Precission_X;1.0
1;10001;652:;Precission_!X;1.0
1;10001;652:;Recall_X;1.0
1;10001;652:;Recall_!X;1.0
1;10001;73:;RewardPos;0
1;10001;73:;RewardNeg;69
1;10001;73:;AmountOfProposition;24
1;10001;73:;AmountOfPositivesProposition;12
1;10001;73:;AmountOfNegativesProposition;12
1;10001;73:;AmountOfRightPositivesProposition;3
1;10001;73:;AmountOfWrongPositivesProposition;0
1;10001;73:;AmountOfRightNegativesProposition;0
1;10001;73:;AmountOfWrongNegativesProposition;1
1;10001;73:;Precission_X;1.0
1;10001;73:;Precission_!X;0.0
1;10001;73:;Recall_X;0.75
1;10001;73:;Recall_!X;0
1;10001;493:;RewardPos;40
1;10001;493:;RewardNeg;30
1;10001;493:;AmountOfProposition;24
1;10001;493:;AmountOfPositivesProposition;12
1;10001;493:;AmountOfNegativesProposition;12
1;10001;493:;AmountOfRightPositivesProposition;4
1;10001;493:;AmountOfWrongPositivesProposition;0
1;10001;493:;AmountOfRightNegativesProposition;0
1;10001;493:;AmountOfWrongNegativesProposition;3
1;10001;493:;Precission_X;1.0
1;10001;493:;Precission_!X;0.0
1;10001;493:;Recall_X;0.5714285714285714
