AgentID;Operation;Result
824:;Observation;Sentence: propositions: ROCK^DAY^PURPLE, reward: Reward.none , evidence: 1 
824:;Current Health;Health.moreThanThreeQuarter
824:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
824:;Action Chosen;Action.explore
140:;Observation;Sentence: propositions: DAY^GREEN, reward: Reward.none , evidence: 1 
140:;Current Health;Health.moreThanThreeQuarter
140:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
140:;Action Chosen;Action.explore
140:;Observation;Sentence: propositions: DAY^GREEN, reward: Reward.none , evidence: 1 
140:;Current Health;Health.moreThanThreeQuarter
140:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
140:;Action Chosen;Action.explore
824:;Observation;Sentence: propositions: ROCK^DAY^PURPLE, reward: Reward.none , evidence: 1 
824:;Current Health;Health.moreThanThreeQuarter
824:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
824:;Action Chosen;Action.explore
373:;Observation;Sentence: propositions: DAY^GREEN, reward: Reward.none , evidence: 1 
373:;Current Health;Health.moreThanThreeQuarter
373:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
373:;Action Chosen;Action.explore
373:;Observation;Sentence: propositions: DAY^GREEN, reward: Reward.none , evidence: 1 
373:;Current Health;Health.moreThanThreeQuarter
373:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
373:;Action Chosen;Action.explore
373:;Observation;Sentence: propositions: DAY^GREEN, reward: Reward.none , evidence: 1 
373:;Current Health;Health.moreThanThreeQuarter
373:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
373:;Action Chosen;Action.explore
122:;Observation;Sentence: propositions: ROCK^TREE^DAY^GREEN, reward: Reward.none , evidence: 1 
122:;Current Health;Health.moreThanThreeQuarter
122:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
122:;Action Chosen;Action.explore
122:;Observation;Sentence: propositions: ROCK^TREE^DAY^GREEN, reward: Reward.none , evidence: 1 
122:;Current Health;Health.moreThanThreeQuarter
122:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
122:;Action Chosen;Action.explore
8:;Observation;Sentence: propositions: TREE^DAY^BLUE, reward: Reward.none , evidence: 1 
8:;Current Health;Health.moreThanThreeQuarter
8:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
8:;Action Chosen;Action.explore
8:;Observation;Sentence: propositions: TREE^DAY^BLUE, reward: Reward.none , evidence: 1 
8:;Current Health;Health.moreThanThreeQuarter
8:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
8:;Action Chosen;Action.explore
122:;Observation;Sentence: propositions: TREE^DAY^GREEN, reward: Reward.none , evidence: 1 
122:;Current Health;Health.moreThanThreeQuarter
122:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
122:;Action Chosen;Action.explore
8:;Observation;Sentence: propositions: TREE^DAY^BLUE, reward: Reward.none , evidence: 1 
8:;Current Health;Health.moreThanThreeQuarter
8:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
8:;Action Chosen;Action.explore
254:;Observation;Sentence: propositions: DAY^ORANGE, reward: Reward.none , evidence: 1 
254:;Current Health;Health.moreThanThreeQuarter
254:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
254:;Action Chosen;Action.explore
254:;Observation;Sentence: propositions: DAY^ORANGE, reward: Reward.none , evidence: 1 
254:;Current Health;Health.moreThanThreeQuarter
254:;DecisionMakingSystem;{'eat': 2.306064592131403, 'explore': 5.54225208209486}
